"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.12128e+01,2.42792e+00,-2.42793e+01,3.25344e-02,1.59595e+01,-3.27978e-01,2.06592e+00,1,5.81684e+05,4.78560e+06,1.08787e+03
2.21836e+01,2.43434e+00,-2.64775e+01,2.97616e-02,1.61439e+01,-2.43398e-01,1.86977e+00,1,5.81695e+05,4.78560e+06,1.09290e+03
2.29481e+01,2.43237e+00,-2.64381e+01,2.81977e-02,1.61332e+01,-2.65663e-01,1.84519e+00,1,5.81696e+05,4.78560e+06,1.09173e+03
2.28061e+01,2.43204e+00,-2.56329e+01,2.80845e-02,1.60671e+01,-3.07385e-01,1.90122e+00,1,5.81693e+05,4.78560e+06,1.08887e+03
2.29029e+01,2.44023e+00,-2.34571e+01,2.73908e-02,1.59222e+01,-3.73326e-01,1.96863e+00,1,5.81685e+05,4.78559e+06,1.08612e+03
2.51173e+01,2.48640e+00,-1.46535e+01,2.78143e-02,1.54107e+01,-4.37906e-01,2.32461e+00,1,5.81639e+05,4.78562e+06,1.08485e+03
2.53681e+01,2.48160e+00,-1.45010e+01,2.70876e-02,1.53895e+01,-4.71801e-01,2.29600e+00,1,5.81639e+05,4.78561e+06,1.08439e+03
2.57020e+01,2.48213e+00,-1.36131e+01,2.64123e-02,1.53236e+01,-5.04673e-01,2.30316e+00,1,5.81636e+05,4.78561e+06,1.08248e+03
2.66177e+01,2.49400e+00,-1.15259e+01,2.47467e-02,1.51997e+01,-5.39879e-01,2.34500e+00,1,5.81628e+05,4.78561e+06,1.07903e+03
2.63966e+01,2.49544e+00,-1.19967e+01,2.60100e-02,1.52430e+01,-4.83931e-01,2.37066e+00,1,5.81628e+05,4.78562e+06,1.08113e+03
1.95104e+01,2.47366e+00,-2.19697e+01,3.25771e-02,1.58658e+01,-2.71913e-01,2.19568e+00,1,5.81668e+05,4.78562e+06,1.09040e+03
2.03847e+01,2.47761e+00,-2.01625e+01,3.17512e-02,1.57511e+01,-3.12837e-01,2.25218e+00,1,5.81660e+05,4.78562e+06,1.08903e+03
2.23306e+01,2.48022e+00,-2.03041e+01,3.28405e-02,1.57891e+01,-2.41972e-01,2.26340e+00,1,5.81660e+05,4.78563e+06,1.08968e+03
2.14563e+01,2.47751e+00,-2.27211e+01,3.32036e-02,1.59582e+01,-1.77548e-01,2.16831e+00,1,5.81670e+05,4.78563e+06,1.09231e+03
2.02535e+01,2.47504e+00,-2.27647e+01,3.23869e-02,1.59409e+01,-2.25231e-01,2.14679e+00,1,5.81671e+05,4.78563e+06,1.09209e+03
2.08975e+01,2.45698e+00,-2.41399e+01,2.93678e-02,1.60369e+01,-2.76628e-01,1.97237e+00,1,5.81684e+05,4.78561e+06,1.09021e+03
